"","Authors","Year","Title","Abstract","DOI"
"11","Pearson, Daniel; Chong, Amy; Chow, Julie Y. L.; Garner, Kelly G.; Theeuwes, Jan; Le Pelley, Mike E.",2024,"Uncertainty-Modulated Attentional Capture: Outcome Variance Increases Attentional Priority","Our prior experiences shape the way that we prioritize information from the environment for further processing, analysis, and action. We show in three experiments that this process of attentional prioritization is critically modulated by the degree of uncertainty in these previous experiences. Participants completed a visual search task in which they made a saccade to a target to earn a monetary reward. The color of a color-singleton distractor in the search array signaled the reward outcome(s) that were available, with different degrees of variance (uncertainty). Participants were never required to look at the colored distractor, and doing so would slow their response to the target. Nevertheless, across all experiments, participants were more likely to look at distractors associated with high outcome variance versus low outcome variance. This pattern was observed when all distractors had equal expected value (Experiment 1), when the difference in variance was opposed by a difference in expected value (i.e., the high-variance distractor had a low expected value, and vice versa: Experiment 2), and when high- and low-variance distractors were paired with the maximum-value outcome on an equal proportion of trials (Experiment 3). Our findings demonstrate that experience of prediction error plays a fundamental role in guiding attentional exploration, wherein priority is driven by the potential for a stimulus to reduce future uncertainty through a process of learning, as opposed to maximizing current information gain.","10.1037/xge0001586"
"12","Le Pelley, Mike E.; Watson, Poppy; Wiers, Reinout W.",2024,"Biased Choice and Incentive Salience: Implications for Addiction","Before we can make any choice, we must gather information from the environment about what our options are. This information-gathering process is critically mediated by attention, and our attention is, in turn, shaped by our previous experiences with-and learning about-stimuli and their consequences. In this review, we highlight studies demonstrating a rapid and automatic influence of reward learning on attentional capture and argue that these findings provide a human analog of sign-tracking behavior observed in nonhuman animals-wherein signals of reward gain incentive salience and become attractive targets for attention (and overt behavior) in their own right. We then consider the implications of this idea for understanding the drivers of cue-controlled behavior, with focus on addiction as a case in which choices with regard to reward-related stimuli can become injurious to health. We argue that motivated behavior in general-and addiction in particular-can be understood within a biased competition framework: Different options and outcomes compete for attentional priority as a function of top-down goals, bottom-up salience, and prior experience, and the winner of this competition becomes the target for subsequent outcome-directed and flexible behavior. Finally, we outline the implications of the biased-competition framework for cognitive, behavioral, and socioeconomic interventions for addiction.","10.1037/bne0000583"
"13","Zhao, Jingjing; Gao, Yunfei; Zhou, Sicen; Yan, Chi; Hu, Xiaoqian; Song, Fangxing; Hu, Saisai; Wang, Yonghui; Kong, Feng",2024,"Impact of relative and absolute values on orienting attention in time","Reward has been known to render the reward-associated stimulus more salient to block effective attentional orienting in space. However, whether and how reward influences goal-directed attention in time remains unclear. Here, we used a modified attentional cueing paradigm to explore the effect of reward on temporal attention, in which the valid targets were given a low monetary reward and invalid targets were given a high monetary reward. The results showed that the temporal cue validity effect was significantly smaller when the competitive reward structure was employed (Experiment 1), and we ruled out the possibility that the results were due to the practice effect (Experiment 2a) or a reward-promoting effect (Experiment 2b). When further strengthening the intensity of the reward from 1:10 to 1:100 (Experiment 3), we found a similar pattern of results to those in Experiment 1. These results suggest that reward information which was based on relative instead of absolute values can weaken, but not reverse, the orienting attention in time.","10.1007/s00426-024-01965-6"
"14","Holton, Eleanor; Grohn, Jan; Ward, Harry; Manohar, Sanjay G.; O'Reilly, Jill X.; Kolling, Nils",2024,"Goal commitment is supported by vmPFC through selective attention","When striking a balance between commitment to a goal and flexibility in the face of better options, people often demonstrate strong goal perseveration. Here, using functional MRI (n = 30) and lesion patient (n = 26) studies, we argue that the ventromedial prefrontal cortex (vmPFC) drives goal commitment linked to changes in goal-directed selective attention. Participants performed an incremental goal pursuit task involving sequential decisions between persisting with a goal versus abandoning progress for better alternative options. Individuals with stronger goal perseveration showed higher goal-directed attention in an interleaved attention task. Increasing goal-directed attention also affected abandonment decisions: while pursuing a goal, people lost their sensitivity to valuable alternative goals while remaining more sensitive to changes in the current goal. In a healthy population, individual differences in both commitment biases and goal-oriented attention were predicted by baseline goal-related activity in the vmPFC. Among lesion patients, vmPFC damage reduced goal commitment, leading to a performance benefit.Using a combination of fMRI and lesion patient studies, Holton et al. show that human vmPFC causes goal perseveration during incremental goal pursuit.","10.1038/s41562-024-01844-5"
"15","Anderson, Brian A.",2024,"Rethinking distraction","When one's attention is directed away from the task at hand, it is tempting to conclude that the person has become distracted, implying a failure of attentional control or a lack of focus. Similarly, when a person fails to process information that they know to monitor for, it is easy to assume that they must have been distracted by something else, again failing to maintain their focus. Informed by recent findings concerning the control of attention, I argue that such a view of distraction is often misguided. Rather than reflecting a failure of the attention system, what is typically referred to as distraction in everyday life can in many instances be described as a predictable feature of a well-functioning attention system. This has implications for the responsibility we ascribe to people for being distracted, and what we try to do to help people cope with so-called distractions.","10.1080/13506285.2024.2335118"
"16","Meyer, Kristin N.; Hopfinger, Joseph B.; Vidrascu, Elena M.; Boettiger, Charlotte A.; Robinson, Donita L.; Sheridan, Margaret A.",2024,"From learned value to sustained bias: how reward conditioning changes attentional priority","Introduction Attentional bias to reward-associated stimuli can occur even when it interferes with goal-driven behavior. One theory posits that dopaminergic signaling in the striatum during reward conditioning leads to changes in visual cortical and parietal representations of the stimulus used, and this, in turn, sustains attentional bias even when reward is discontinued. However, only a few studies have examined neural activity during both rewarded and unrewarded task phases.Methods In the current study, participants first completed a reward-conditioning phase, during which responses to certain stimuli were associated with monetary reward. These stimuli were then included as non-predictive cues in a spatial cueing task. Participants underwent functional brain imaging during both task phases.Results The results show that striatal activity during the learning phase predicted increased visual cortical and parietal activity and decreased ventro-medial prefrontal cortex activity in response to conditioned stimuli during the test. Striatal activity was also associated with anterior cingulate cortex activation when the reward-conditioned stimulus directed attention away from the target.Discussion Our findings suggest that striatal activity during reward conditioning predicts the degree to which reward history biases attention through learning-induced changes in visual and parietal activities.","10.3389/fnhum.2024.1354142"
"17","Le, Jenny T.; Watson, Poppy; Le Pelley, Mike E.",2025,"Effects of outcome revaluation on attentional prioritisation of reward-related stimuli","Stimuli associated with rewards can acquire the ability to capture our attention independently of our goals and intentions. Here, we examined whether attentional prioritisation of reward-related cues is sensitive to changes in the value of the reward itself. To this end, we incorporated an instructed outcome devaluation (Experiment 1a), super-valuation (Experiment 1b), or value switch (Experiment 2) into a visual search task, using eye-tracking to examine attentional prioritisation of stimuli signalling high- and low-value rewards. In Experiments 1a and 1b, we found that prioritisation of high- and low-value stimuli was insensitive to devaluation of a previously high-value outcome, and super-valuation of a previously low-value outcome, even when participants were provided with further experience of receiving that outcome. In Experiment 2, following a value-switch manipulation, we found that prioritisation of a high-value stimulus could not be overcome with knowledge of the new values of outcomes alone. Only when provided with further experience of receiving the outcomes did patterns of attentional prioritisation of high- and low-value stimuli switch, in line with the updated values of the outcomes they signalled. To reconcile these findings, we suggest that participants were motivated to engage in effortful updating of attentional control settings when there was a relative difference between reward values at test (Experiment 2) but that previous settings were allowed to persist when both outcomes had the same value at test (Experiments 1a and 1b). These findings provide a novel framework to further understand the role of cognitive control in driving reward-modulated attention and behaviour.","10.1177/17470218241236711"
"18","Watson, Poppy; Prior, Katrina; Ridley, Nicole; Monds, Lauren; Manning, Victoria; Wiers, Reinout W.; Pelley, Mike E. Le",2024,"Sign-tracking to non-drug reward is related to severity of alcohol-use problems in a sample of individuals seeking treatment","Background: A prominent neuroscientific theory of drug addiction is the incentive sensitization model. Individual differences in the tendency to ascribe motivational salience to cues that predict reward, and involuntary signtracking (orientation towards) such cues have been identified as potentially important in understanding vulnerability to addiction and relapse. However, to date this behaviour has not been assessed in a treatmentseeking clinical population, who typically represent those most susceptible to alcohol-related harms and episodes of relapse. This highlights a significant gap in the literature pertaining to incentive sensitization and drug dependence. Methods: Individuals accessing inpatient drug and alcohol services with alcohol as primary drug of concern were recruited to participate in a Cognitive Bias Modification (CBM) intervention. At the baseline assessment, participants completed various self-report measures (including the Alcohol Use Disorders Identification Test; AUDIT) in addition to a visual search task measuring sign-tracking to cues signalling monetary reward. At 3month follow up, abstinence from alcohol was the primary outcome measure. All analyses and hypotheses were pre-registered. Results: At baseline (57 participants), AUDIT scores correlated with sign-tracking to signals of monetary reward. In a subsequent regression analysis sign-tracking, gender and self-reported alcohol craving predicted abstinence at 3-month follow up (41 participants). Conclusions: Our work demonstrates that involuntary sign-tracking to cues signalling non-drug reward is associated with problematic alcohol use and return to use at 3-month follow up, in a treatment-seeking sample. Whether this automatic prioritisation of cues signalling reward is a consequence or vulnerability for problematic alcohol use remains to be investigated.","10.1016/j.addbeh.2024.108010"
"19","Kobayashi, Honami; Matsui, Hiroshi; Ogawa, Hirokazu",2024,"The Influence of Blocking on Feature Learning and Optimal Decision in the Visual Foraging Task","Foraging refers to behavior that exploits the current environment for resources and induces exploration for a better environment. Visual foraging tasks have been used to study human behavior during visual searches. Participants searched for target stimuli among the distractors and either acquired or lost points when they clicked on a target or distractor. In the current study, we investigated the influence of blocking feature learning in visual foraging. For this purpose, we divided participants into control and blocking groups. The blocking group completed three phases: in the first phase, stimulus colors predicted rewards; in the second phase, stimulus color and orientation predicted rewards; in the third phase, only stimulus orientation predicted rewards. The control group completed either the second and third phases (Experiments 1 and 2) or all three phases (Experiment 3) with different reward combinations: color in Phase 1, color and orientation in Phase 2, and orientation in Phase 3. When the learning of a stimulus feature was blocked, the participants made less accurate responses. This suggests that the learning of task-relevant information was disturbed, and the blocked feature was not selected to after blocking. Additional analyses showed that the performance deviated slightly from the optimal performance; however, the extent of the deviation was not affected by blocking, implying that two distinct decision-making processes were involved in visual foraging. Our findings highlight the impact of blocking feature learning on visual foraging performance and reveal its distinct influence on multiple decision-making processes in this task.","10.1037/xlm0001282"
"20","Gregoire, Laurent; Dubravac, Mirela; Moore, Kirsten; Kim, Namgyun; Anderson, Brian A.",2024,"Observational learning of threat-related attentional bias","Attentional bias to threat has been almost exclusively examined after participants experienced repeated pairings between a conditioned stimulus (CS) and an aversive unconditioned stimulus (US). This study aimed to determine whether threat-related attentional capture can result from observational learning, when participants acquire knowledge of the aversive qualities of a stimulus without themselves experiencing aversive outcomes. Non-clinical young-adult participants (N = 38) first watched a video of an individual (the demonstrator) performing a Pavlovian conditioning task in which one colour was paired with shock (CS+) and another colour was neutral (CS-). They then carried out visual search for a shape-defined target. Oculomotor measures evidenced an attentional bias toward the CS+ colour, suggesting that threat-related attentional capture can ensue from observational learning. Exploratory analyses also revealed that this effect was positively correlated with empathy for the demonstrator. Our findings extend empirical and theoretical knowledge about threat-driven attention and provide valuable insights to better understand the formation of anxiety disorders.","10.1080/02699931.2024.2317917"
"21","Anderson, Brian A.",2024,"Trichotomy revisited: A monolithic theory of attentional control","The control of attention was long held to reflect the influence of two competing mechanisms of assigning priority, one goal-directed and the other stimulus-driven. Learning-dependent influences on the control of attention that could not be attributed to either of those two established mechanisms of control gave rise to the concept of selection history and a corresponding third mechanism of attentional control. The trichotomy framework that ensued has come to dominate theories of attentional control over the past decade, replacing the historical dichotomy. In this theoretical review, I readily affirm that distinctions between the influence of goals, salience, and selection history are substantive and meaningful, and that abandoning the dichotomy between goal-directed and stimulus-driven mechanisms of control was appropriate. I do, however, question whether a theoretical trichotomy is the right answer to the problem posed by selection history. If we reframe the influence of goals and selection history as different flavors of memory-dependent modulations of attentional priority and if we characterize the influence of salience as a consequence of insufficient competition from such memory-dependent sources of priority, it is possible to account for a wide range of attention-related phenomena with only one mechanism of control. The monolithic framework for the control of attention that I propose offers several concrete advantages over a trichotomy framework, which I explore here.","10.1016/j.visres.2024.108366"
"22","Freichel, Rene; Christensen, Erynn; Mrkonja, Lana; de Jong, Peter J.; Cousijn, Janna; Franken, Ingmar; Yucel, Murat; Lee, Rico; Veer, Ilya M.; Albertella, Lucy; Wiers, Reinout W.",2024,"Attentional Biases and Their Association with Substance-Use-Related Problems and Addictive Behaviors: The Utility of a Gamified Value-Modulated Attentional Capture Task","Background: Attentional biases towards reward stimuli have been implicated in substance use-related problems. The value-modulated attentional capture (VMAC) task assesses such reward-related biases. The VMAC task widely used in lab studies tends to be monotonous and susceptible to low effort. We therefore tested a gamified online version of the VMAC that aimed to increase participant engagement. Our goal was to examine how VMAC is associated with substance use-related problems and addictive behaviors, and whether this association is moderated by cognitive control. Methods: We recruited 285 participants from an online community, including heavy alcohol users. All participants completed a novel gamified version of the VMAC task, measures of substance use and addictive behaviors (addictive-like eating behavior, problematic smartphone use), the WebExec measure of problems with executive functions, and the Stroop Adaptive Deadline Task (SDL) as a measure of cognitive control. Results: The gamified VMAC task successfully identified value-modulated attentional capture effects towards high-reward stimuli. We found no significant associations between VMAC scores, problematic alcohol or cannabis use, addictive behaviors, or any moderation by a behavioral measure of cognitive control. Exploratory analyses revealed that self-reported cognitive problems were associated with more alcohol-, and cannabis-related problems, and addictive behaviors. Greater attentional capture (VMAC) was associated with more cannabis userelated problems among individuals with higher levels of self-reported cognitive problems. Conclusions: Our study is one of the first to demonstrate the utility of the gamified version of the VMAC task in capturing attentional reward biases. Self-reported problems with cognitive functions represent a key dimension associated with substance use-related problems and addictive behaviors.","10.1016/j.abrep.2024.100534"
"23","Cherkasova, Mariya, V; Clark, Luke; Barton, Jason J. S.; Stoessl, A. Jon; Winstanley, Catharine A.",2024,"Risk-promoting effects of reward-paired cues in human sign- and goal-trackers","Animal research suggests trait-like individual variation in the degree of incentive salience attribution to rewardpredictive cues, defined phenotypically as sign-tracking (high) and goal-tracking (low incentive salience attribution). While these phenotypes have been linked to addiction features in rodents, their translational validity is less clear. Here, we examined whether sign- and goal-tracking in healthy human volunteers modulates the effects of reward-paired cues on decision making. Sign-tracking was measured in a Pavlovian conditioning paradigm as the amount of eye gaze fixation on the reward-predictive cue versus the location of impending reward delivery. In Study 1 (Cherkasova et al., 2018), participants were randomly assigned to perform a binary choice task in which rewards were either accompanied (cued, n = 63) or unaccompanied (uncued, n = 68) by money images and casino jingles. In Study 2, participants (n = 58) performed cued and uncued versions of the task in a withinsubjects design. Across both studies, cues promoted riskier choice. Sign-tracking was not associated with risky choice in either study. Goal-tracking rather than sign-tracking was significantly associated with greater riskpromoting effects of cues in Study 1 but not in Study 2, although the direction of findings was consistent across both studies. These findings are at odds with the notion of sign-trackers being preferentially susceptible to the influence of reward cues on behavior and point to the role of mechanisms besides incentive salience in mediating such influences.","10.1016/j.bbr.2024.114865"
"24","Garre-Frutos, Francisco; Vadillo, Miguel A.; Gonzalez, Felisa; Lupianez, Juan",2024,"On the reliability of value-modulated attentional capture: An online replication and multiverse analysis","Stimuli predicting rewards are more likely to capture attention, even when they are not relevant to our current goals. Individual differences in value-modulated attentional capture (VMAC) have been associated with various psychopathological conditions in the scientific literature. However, the claim that this attentional bias can predict individual differences requires further exploration of the psychometric properties of the most common experimental paradigms. The current study replicated the VMAC effect in a large online sample (N = 182) and investigated the internal consistency, with a design that allowed us to measure the effect during learning (rewarded phase) and after acquisition, once feedback was omitted (unrewarded phase). Through the rewarded phase there was gradual increase of the VMAC effect, which did not decline significantly throughout the unrewarded phase. Furthermore, we conducted a reliability multiverse analysis for 288 different data preprocessing specifications across both phases. Specifications including more blocks in the analysis led to better reliability estimates in both phases, while specifications that removed more outliers also improved reliability, suggesting that specifications with more, but less noisy, trials led to better reliability estimates. Nevertheless, in most instances, especially those considering fewer blocks of trials, reliability estimates fell below the minimum recommended thresholds for research on individual differences. Given the present results, we encourage researchers working on VMAC to take into account reliability when designing studies aimed at capturing individual differences and provide recommendations to improve methodological practices.","10.3758/s13428-023-02329-5"
