Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Ma X., Abrams R.A.","57754566000;16196549000;","Spatial task relevance modulates value-driven attentional capture",2022,"Attention, Perception, and Psychophysics","84","6",,"1826","1844",,1,"10.3758/s13414-022-02530-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132363517&doi=10.3758%2fs13414-022-02530-2&partnerID=40&md5=e56da1e2cc93ec8671ae1125efd27733","Attention tends to be attracted to visual features previously associated with reward. To date, nearly all existing studies examined value-associated stimuli at or near potential target locations, making such locations meaningful to inspect. The present experiments examined whether the attentional priority of a value-associated stimulus depends on its location-wise task relevance. In three experiments we used an RSVP task to compare the attentional demands of a value-associated peripheral distractor to that of a distractor associated with the top-down search goal. At a peripheral location that could never contain the target, a value-associated color did not capture attention. In contrast, at the same location, a distractor in a goal-matching color did capture attention. The results show that value-associated stimuli lose their attentional priority at task-irrelevant locations, in contrast to other types of stimuli that capture attention. © 2022, The Psychonomic Society, Inc.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85132363517
"Friehs M.A., Schäfer S., Frings C.","57198442354;56911862500;34568737400;","The (Gami)fictional Ego-Center: Projecting the Location of the Self Into an Avatar",2022,"Frontiers in Psychology","13",,"918688","","",,5,"10.3389/fpsyg.2022.918688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134500342&doi=10.3389%2ffpsyg.2022.918688&partnerID=40&md5=11c303ed3879a49e1e5ee0568962d92e","A rich body of research suggests that self-associated stimuli are preferentially processed and therefore responses to such stimuli are typically faster and more accurate. In addition, people have an understanding of what they consider their “Self” and where it is located, namely near the head and upper torso—further boosting the processing of self-related stimuli if they are presented near the felt location of the self. We were interested in whether the same mechanism can be found when people transfer their “Self” into a static avatar. We investigated this in two studies with N = 33 and N = 39 young, healthy adults, respectively. Taken together, the results showed that (i) people indeed show enhanced processing for self-avatar-related stimuli and (ii) that self-associations are stronger if the to-be-associated stimuli are closer to the avatar’s upper torso—suggesting some kind of a projected location of the self in the avatar. This implies that attention is not equally distributed across the avatar. Beyond a theoretical level, this also has implications for practical use. For example, digital games opting for a non-traditional user interface where information is displayed on or in the direct vicinity of the character should take this effect into account when choosing which information to present where (i.e., present the most crucial piece of information close to the self-center of the avatar). Copyright © 2022 Friehs, Schäfer and Frings.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85134500342
"Balewski Z.Z., Knudsen E.B., Wallis J.D.","56748020800;58334935100;7103223282;","Fast and slow contributions to decision-making in corticostriatal circuits",2022,"Neuron","110","13",,"2170","2182.e4",,5,"10.1016/j.neuron.2022.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133263625&doi=10.1016%2fj.neuron.2022.04.005&partnerID=40&md5=fe7ec26d01d6afb6596329fe9c42a7fe","We make complex decisions using both fast judgments and slower, more deliberative reasoning. For example, during value-based decision-making, animals make rapid value-guided orienting eye movements after stimulus presentation that bias the upcoming decision. The neural mechanisms underlying these processes remain unclear. To address this, we recorded from the caudate nucleus and orbitofrontal cortex while animals made value-guided decisions. Using population-level decoding, we found a rapid, phasic signal in caudate that predicted the choice response and closely aligned with animals’ initial orienting eye movements. In contrast, the dynamics in orbitofrontal cortex were more consistent with a deliberative system serially representing the value of each available option. The phasic caudate value signal and the deliberative orbitofrontal value signal were largely independent from each other, consistent with value-guided orienting and value-guided decision-making being independent processes. © 2022 Elsevier Inc.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85133263625
"Watson P., Pavri Y., Le J., Pearson D., Le Pelley M.E.","55340167900;57795345600;57795212900;56402562600;6603589906;","Attentional capture by signals of reward persists following outcome devaluation",2022,"Learning and Memory","29","7",,"181","191",,10,"10.1101/lm.053569.122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133920096&doi=10.1101%2flm.053569.122&partnerID=40&md5=258ac1102a9fa967403a2e3b2d0509ed","Attention, the mechanism that prioritizes stimuli in the environment for further processing, plays an important role in behavioral choice. In the present study, we investigated the automatic orienting of attention to cues that signal reward. Such attentional capture occurs despite negative consequences, and we investigated whether this counterproductive and reflexive behavior would persist following outcome devaluation. Thirsty participants completed a visual search task in which the color of a distractor stimulus in the search display signaled whether participants would earn water or potato chips for making a rapid eye movement to a diamond target, but looking at the colored distractor was punished by omission of the signaled reward. Nevertheless, participants looked at the water-signaling distractor more frequently than the chipsignaling distractor. Half the participants then drank water ad libitum before continuing with the visual search task. Although the water was now significantly less desirable for half of the participants, there was no difference between groups in the tendency for the water-signaling distractor to capture attention. These findings suggest that once established, counterproductive attentional bias to signals of reward persists even when those outcomes are no longer valuable. This suggests a ""habit-like""attentional mechanism that prioritizes reward stimuli in the environment for further action, regardless of whether those stimuli are aligned with current goals or currently desired. © 2022 Watson et al.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85133920096
"Le Pelley M.E., Ung R., Mine C., Most S.B., Watson P., Pearson D., Theeuwes J.","6603589906;57413428500;56600474700;6601986889;55340167900;56402562600;7006932399;","Reward learning and statistical learning independently influence attentional priority of salient distractors in visual search",2022,"Attention, Perception, and Psychophysics","84","5",,"1446","1459",,10,"10.3758/s13414-021-02426-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122895046&doi=10.3758%2fs13414-021-02426-7&partnerID=40&md5=1b9ac698b79825674eefdf8a3f8c48e1","Existing research demonstrates different ways in which attentional prioritization of salient nontarget stimuli is shaped by prior experience: Reward learning renders signals of high-value outcomes more likely to capture attention than signals of low-value outcomes, whereas statistical learning can produce attentional suppression of the location in which salient distractor items are likely to appear. The current study combined manipulations of the value and location associated with salient distractors in visual search to investigate whether these different effects of selection history operate independently or interact to determine overall attentional prioritization of salient distractors. In Experiment 1, high-value and low-value distractors most frequently appeared in the same location; in Experiment 2, high-value and low-value distractors typically appeared in distinct locations. In both experiments, effects of distractor value and location were additive, suggesting that attention-promoting effects of value and attention-suppressing effects of statistical location-learning independently modulate overall attentional priority. Our findings are consistent with a view that sees attention as mediated by a common priority map that receives and integrates separate signals relating to physical salience and value, with signal suppression based on statistical learning determined by physical salience, but not incentive salience. © 2022, The Author(s).",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85122895046
"Pearson D., Watson P., Albertella L., Le Pelley M.E.","56402562600;55340167900;15025915100;6603589906;","Attentional economics links value-modulated attentional capture and decision-making",2022,"Nature Reviews Psychology","1","6",,"320","333",,14,"10.1038/s44159-022-00053-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146838001&doi=10.1038%2fs44159-022-00053-z&partnerID=40&md5=f4e565837f27e09bd9eba200ccb61e8a","Effective decision-making involves multiple steps to reduce a nearly limitless set of available choices to a final selection. The attention system plays a critical early role in this process by prioritizing and deprioritizing certain alternatives for further processing. Attention is rapidly and automatically directed to stimuli that have been repeatedly paired with highly rewarding outcomes. This attentional bias persists even when attending to the reward-related stimulus does not align with current goals and when the rewarding outcome is no longer desired. In this Review, we outline an ‘attentional economic’ hypothesis that links value-modulated attention to decision-making. Attentional prioritization of high-value choice alternatives increases the weighting of those alternatives during decision-making and thereby increases the likelihood that they will be chosen. We explore how this interaction between value, attention and decision-making might contribute to the maladaptive choices seen in addiction. By discussing the cognitive mechanisms at the intersection of visual cognition and decision-making, we offer an integrated framework for understanding value-modulated attention as a core aspect of motivated behaviour. © 2022, Springer Nature America, Inc.",Review,"Final","",Scopus,2-s2.0-85146838001
"De Tommaso M., Turatto M.","57150670000;35884913700;","Testing reward-cue attentional salience: Attainment and dynamic changes",2022,"British Journal of Psychology","113","2",,"396","411",,3,"10.1111/bjop.12537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117890325&doi=10.1111%2fbjop.12537&partnerID=40&md5=a9baf4ef9bd79046a4f75ccad1dd3ad6","A great wealth of studies has investigated the capacity of motivationally relevant stimuli to bias attention, suggesting that reward predicting cues are prioritized even when reward is no longer delivered and when attending to such stimuli is detrimental to reward achievement. Despite multiple procedures have been adopted to unveil the mechanisms whereby reward cues gain attentional salience, some open questions remain. Indeed, mechanisms different from motivation can be responsible for the capture of attention triggered by the reward cue. In addition, we note that at present only a few studies have sought to address whether the cue attractiveness dynamically follows changes in the associated reward value. Investigating how and to what extent the salience of the reward cue is updated when motivation changes, could help shedding light on how reward-cues attain and maintain their capacity to attract attention, and therefore on apparent irrational attentive behaviors. © 2021 The Authors. British Journal of Psychology published by John Wiley & Sons Ltd on behalf of British Psychological Society.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85117890325
"Marchner J.R., Preuschhof C.","55867725400;6505536988;","The influence of associative reward learning on motor inhibition",2022,"Psychological Research","86","1",,"125","140",,2,"10.1007/s00426-021-01485-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101130083&doi=10.1007%2fs00426-021-01485-7&partnerID=40&md5=f5bfc2f57acd345a2ad2c33e079f38a2","Stimuli that predict a rewarding outcome can cause difficulties to inhibit unfavourable behaviour. Research suggests that this is also the case for stimuli with a history of reward extending these effects on action control to situations, where reward is no longer accessible. We expand this line of research by investigating if previously reward-predictive stimuli promote behavioural activation and impair motor inhibition in a second unrelated task. In two experiments participants were trained to associate colours with a monetary reward or neutral feedback. Afterwards participants performed a cued go/no-go task, where cues appeared in the colours previously associated with feedback during training. In both experiments training resulted in faster responses in rewarded trials providing evidence of a value-driven response bias as long as reward was accessible. However, stimuli with a history of reward did not interfere with goal-directed action and inhibition in a subsequent task after removal of the reward incentives. While the first experiment was not conclusive regarding an impact of reward-associated cues on response inhibition, the second experiment, validated by Bayesian statistics, clearly questioned an effect of reward history on inhibitory control. This stands in contrast to earlier findings suggesting that the effect of reward history on subsequent action control is not as consistent as previously assumed. Our results show that participants are able to overcome influences from Pavlovian learning in a simple inhibition task. We discuss our findings with respect to features of the experimental design which may help or complicate overcoming behavioural biases induced by reward history. © 2021, The Author(s).",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85101130083
"Garner K.G., Lovell-Kane M., Carroll L., Dux P.E.","36611551200;57811586200;57811586300;7004246809;","On the Influence of Spatial and Value Attentional Cues Across Individuals",2022,"Journal of Cognition","5","1","38","","",,1,"10.5334/joc.229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134466160&doi=10.5334%2fjoc.229&partnerID=40&md5=663afdeeec2592cc42c88b87d17a136f","The visual world provides a myriad of cues that can be used to direct information processing. How does the brain integrate predictive information from disparate sources to modify visual priorities, and are combination strategies consistent across individuals? Previous evidence shows that cues predictive of the value of a visually guided task (incentive value) and cues that signal where targets may occur (spatial certainty) act independently to bias attention. Anticipatory accounts propose that both cues are encoded into an attentional priority map, whereas the counterfactual account argues that incentive value cues instead induce a reactive encoding of losses based on the direction of attention. We adjudicate between these alternatives and further determine whether there are individual differences in how attentional cues are encoded. 149 participants viewed two coloured placeholders that specified the potential value of correctly identifying an imminent target. Prior to the target's presentation, an endogenous spatial cue indicated the target's likely location. The anticipatory and counterfactual accounts were used to motivate parametric regressors that were compared in their explanatory power of the data, at the group level and on data stratified by a clustering algorithm. Clustering revealed 2 subtypes; whereas all individuals use spatial certainty cues a subset does not use incentive value cues. When incentive value cues are used their influence reflects a counterfactual loss function. The data support the counterfactual account and show that theories of motivated attention must account for the non-uniform influence of incentive value on visual priorities. © 2022 The Author(s)",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85134466160
"Anderson B.A., Liao M.-R., Grégoire L.","36058352000;57211905652;55813918700;","Pavlovian Learning in the Selection History-Dependent Control of Overt Spatial Attention",2022,"Journal of Experimental Psychology: Human Perception and Performance","48","8",,"783","789",,2,"10.1037/xhp0001030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133140556&doi=10.1037%2fxhp0001030&partnerID=40&md5=84855f35faf8adeb8b8e63d83b861a88","Learning from rewarding and aversive outcomes shapes how sensory signals are processed by the attention system, reflecting a consequence of selection history. Substantial evidence points to Pavlovian associative learning as the mechanism by which previously reward-associated and aversively conditioned stimulus features gain attentional priority. On the basis of differences between reward-dependent feature-based and space-based attentional biases, it has been suggested that reinforcement learning underlies the influence of selection history on spatial attention. By pairing the orienting of overt spatial attention with aversive electric shock, we provide direct evidence that Pavlovian learning between locations and outcomes can shape spatial attention. © 2022. American Psychological Association",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85133140556
"Kim S., Harman J.L., Beck M.R.","57216530651;56406974400;7402769090;","Diminishing sensitivity and absolute difference in value-driven attention",2022,"Journal of Vision","22","1","12","","",,2,"10.1167/JOV.22.1.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123655280&doi=10.1167%2fJOV.22.1.12&partnerID=40&md5=43dad373e3f5573b3e8780991ddce82a","Kim and Beck (2020b) demonstrated that value-driven attention is based on relative value rather than absolute value, suggesting that prospect theory is relevant to our understanding of value-driven attention. To further this understanding, the present study investigated the impacts of diminishing sensitivity on value-driven attention. According to diminishing sensitivity, changes in outcomes have greater impacts nearer the reference point of 0 than farther from the point. Thus, the difference between $1 and $100 looms larger than that between $901 and $1000, due to their different ratios (100/1 > 1000/901). However, according to the absolute difference hypothesis, the differences should have similar impacts due to the absolute differences being the same (100 -1 = 1000 - 901). Experiment 1 investigated whether diminishing sensitivity operates in the modified value-driven attention paradigm while controlling the impact of absolute differences. In the training phase, 100-point and 1000-point color targets had references of 1-point and 901-point color targets, respectively. In the test phase, 100-point color distractors attracted attention more than 1000-point color distractors, supporting the diminishing sensitivity hypothesis. Experiment 2 examined the absolute difference hypothesis while controlling the impact of diminishing sensitivity. Contrary to the absolute difference hypothesis, the test phase showed that 1000-point color distractors (compared with 10-point colors for a 990 absolute difference in the training phase) failed to attract attention more than 100-point color distractors (compared with 1-point colors, for a 99 absolute difference). These results suggest that diminishing sensitivity rather than absolute difference influences value-driven attention, further supporting the relevance of prospect theory to value-driven attention. © 2022. All Rights Reserved.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85123655280
"Hao Y., Li Y., Li J., Peng H., Zhao Q., Hu B.","57196066730;36988641100;57191420467;56937546700;55940155900;58594670300;","Abnormal Attentional Bias of Non-Drug Reward in Abstinent Heroin Addicts: An ERP Study",2022,"IEEE Transactions on Affective Computing","13","3",,"1664","1676",,5,"10.1109/TAFFC.2020.3025799","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091687193&doi=10.1109%2fTAFFC.2020.3025799&partnerID=40&md5=f14b7b5d0cbf32e28ebe35cc401d54ae","Drug addicts are characterized by difficulty neglecting monetary reward, but its underlying neural mechanisms remain unclear. The current study aimed to investigate the behavioral and electrophysiological signatures of abnormal attentional bias based on different amounts of reward in abstinent heroin addicts (AHAs). We used a modified attentional capture task while recording EEG in 18 AHAs and 18 age-, gander-, and education-matched healthy controls (HCs). We analyzed the attentional distribution of the relative positional changes in space of the target and reward-related stimulus. When targets integrated reward-related colors, participants were more responsive and deployed more attention to targets, especially those with high-value colors. When targets and reward-related distractors were spatially separated, high-value distractors captured the AHA's attention and slowed their responses. Moreover, AHAs had weaker attentional control than HCs, exhibiting an inability to suppress the attentional bias driven by high-value stimuli. Overall, these results demonstrated that AHAs was hypersensitive to task-irrelevant and previous reward-related stimuli, possibly due to damage to brain reward circuits caused by chronic heroin abuse. Our work provides novel behavioral and neurophysiological evidence that are closely associated with the maintenance and relapse of addiction. © 2010-2012 IEEE.",Article,"Final","",Scopus,2-s2.0-85091687193
"Grégoire L., Britton M.K., Anderson B.A.","55813918700;57209885205;36058352000;","Motivated Suppression of Value and Threat-Modulated Attentional Capture",2022,"Emotion","22","4",,"780","794",,24,"10.1037/emo0000777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087523097&doi=10.1037%2femo0000777&partnerID=40&md5=6d1d1e89bcf0807707f76bf13b8468d3","Attention prioritizes stimuli previously associated with reward or punishment. The present study examined whether this attentional bias, widely considered to be involuntary and automatic, could be suppressed with sufficient motivation. Participants performed visual search for a shape-defined target. One color-singleton distractor predicted the possibility of receiving a reward and another an electric shock, with each outcome occurring infrequently. Participants were informed that the likelihood to earn a reward or avert punishment depended on fast and accurate performance, thus providing strong motivation to resist distraction by rewardand shock-related stimuli. Results revealed a reduction in the magnitude of attentional capture by reward and threat-associated distractors, relative to neutral distractors, that persisted into extinction. In a second experiment, we replicated the suppression of value-modulated attentional capture in the absence of the shock condition, thus confirming that the suppression did not result from the presence of threat. Finally, in a third experiment, we replicated the typical pattern of attentional capture by reward cues using a more conventional procedure in which the motivation to suppress valent stimuli was low (the likelihood to be rewarded was high and not contingent on fast performance). This study demonstrates that signals for reward and threat can be actively suppressed with sufficient motivation. © 2020. American Psychological Association",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85087523097
"Womelsdorf T., Watson M.R., Tiesinga P.","12242862600;26636061300;7004238468;","Learning at variable attentional load requires cooperation of working memory, meta-learning, and attention-augmented reinforcement learning",2021,"Journal of Cognitive Neuroscience","34","1",,"79","107",,8,"10.1162/jocn_a_01780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119481452&doi=10.1162%2fjocn_a_01780&partnerID=40&md5=477d393fa392251eb293b54b6ef1bdb4","Flexible learning of changing reward contingencies can be realized with different strategies. A fast learning strategy involves using working memory of recently rewarded objects to guide choices. A slower learning strategy uses prediction errors to gradually update value expectations to improve choices. How the fast and slow strategies work together in scenarios with real-world stimulus complexity is not well known. Here, we aim to disentangle their relative contributions in rhesus monkeys while they learned the relevance of object features at variable attentional load. We found that learning behavior across six monkeys is consistently best predicted with a model combining (i) fast working memory and (ii) slower reinforcement learning from differently weighted positive and negative prediction errors as well as (iii) selective suppression of nonchosen feature values and (iv) a meta-learning mechanism that enhances exploration rates based on a memory trace of recent errors. The optimal model parameter settings suggest that these mechanisms cooperate differently at low and high attentional loads. Whereas working memory was essential for efficient learning at lower attentional loads, enhanced weighting of negative prediction errors and meta-learning were essential for efficient learning at higher attentional loads. Together, these findings pinpoint a canonical set of learning mechanisms and suggest how they may cooperate when subjects flexibly adjust to environments with variable real-world attentional demands. © 2021 Massachusetts Institute of Technology.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85119481452
"Cheng P., Rich A.N., Le Pelley M.E.","57216150629;7201564180;6603589906;","Reward Rapidly Enhances Visual Perception",2021,"Psychological Science","32","12",,"1994","2004",,5,"10.1177/09567976211021843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119009680&doi=10.1177%2f09567976211021843&partnerID=40&md5=a78d64720770c28a26f66a760602ed21","Rewards exert a deep influence on our cognition and behavior. Here, we used a paradigm in which reward information was provided at either encoding or retrieval of a brief, masked stimulus to show that reward can also rapidly modulate perceptual encoding of visual information. Experiment 1 (n = 30 adults) showed that participants’ response accuracy was enhanced when a to-be-encoded grating signaled high reward relative to low reward, but only when the grating was presented very briefly and participants reported that they were not consciously aware of it. Experiment 2 (n = 29 adults) showed that there was no difference in participants’ response accuracy when reward information was instead provided at the stage of retrieval, ruling out an explanation of the reward-modulation effect in terms of differences in motivated retrieval. Taken together, our findings provide behavioral evidence consistent with a rapid reward modulation of visual perception, which may not require consciousness. © The Author(s) 2021.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85119009680
"Forster S., Lavie N.","16507015700;25029942400;","Faces are not always special for attention: Effects of response–relevance and identity",2021,"Vision Research","189",,,"1","10",,4,"10.1016/j.visres.2021.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114130625&doi=10.1016%2fj.visres.2021.08.002&partnerID=40&md5=c2705cb0c799a2192bbc319177bd5b48","Research over the past 25 years indicates that stimulus processing is diminished when attention is engaged in a perceptually demanding task of high ‘perceptual load’. These results have generalized across a variety of stimulus categories, but a controversy evolved over the question of whether perception of distractor faces (or other categories of perceptual expertise) can proceed irrespective of the level of perceptual load in the attended task. Here we identify task-relevance, and in particular identity-relevance, as a potentially important factor in explaining prior inconsistencies. In four experiments, we tested whether perceptual load in an attended letter or word task modulates the processing of famous face distractors, while varying their task-relevance. Distractor interference effects on task RTs was reduced by perceptual load not only when the faces were entirely task-irrelevant, but also when the face gender was task relevant, within a name gender classification response-competition task, using famous female or male distractor faces. However, when the identity associated with the famous faces was primed by the task using their names, as in prior demonstrations that face distractors are immune to the effects of perceptual load, we were able to replicate these prior findings. Our findings demonstrate a role for identity-priming by the relevant task in determining attentional capture by faces under high perceptual load. Our results also highlight the importance of considering even relatively subtle forms of task-relevance in selective attention research. © 2021 Elsevier Ltd",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85114130625
"Loganathan K.","57196218558;","Value-based cognition and drug dependency",2021,"Addictive Behaviors","123",,"107070","","",,2,"10.1016/j.addbeh.2021.107070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111779935&doi=10.1016%2fj.addbeh.2021.107070&partnerID=40&md5=c4ad5397d1223ff41047d5fb62aebdb6","Value-based decision-making is thought to play an important role in drug dependency. Achieving elevated levels of euphoria or ameliorating dysphoria/pain may motivate goal-directed drug consumption in both drug-naïve and long-time users. In other words, drugs become viewed as the preferred means of attaining a desired internal state. The bias towards choosing drugs may affect one's cognition. Observed biases in learning, attention and memory systems within the brain gradually focus one's cognitive functions towards drugs and related cues to the exclusion of other stimuli. In this narrative review, the effects of drug use on learning, attention and memory are discussed with a particular focus on changes across brain-wide functional networks and the subsequent impact on behaviour. These cognitive changes are then incorporated into the cycle of addiction, an established model outlining the transition from casual drug use to chronic dependency. If drug use results in the elevated salience of drugs and their cues, the studies highlighted in this review strongly suggest that this salience biases cognitive systems towards the motivated pursuit of addictive drugs. This bias is observed throughout the cycle of addiction, possibly contributing to the persistent hold that addictive drugs have over the dependent. Taken together, the excessive valuation of drugs as the preferred means of achieving a desired internal state affects more than just decision-making, but also learning, attentional and mnemonic systems. This eventually narrows the focus of one's thoughts towards the pursuit and consumption of addictive drugs. © 2021",Short Survey,"Final","",Scopus,2-s2.0-85111779935
"Kim H., Nanavaty N., Ahmed H., Mathur V.A., Anderson B.A.","57202061067;57209100703;57212337169;18437835700;36058352000;","Motivational salience guides attention to valuable and threatening stimuli: Evidence from behavior and functional magnetic resonance imaging",2021,"Journal of Cognitive Neuroscience","33","12",,"2440","2460",,16,"10.1162/jocn_a_01769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114629568&doi=10.1162%2fjocn_a_01769&partnerID=40&md5=0ff72b056fc13d2c924fbc07eefdf3c7","Rewarding and aversive outcomes have opposing effects on behavior, facilitating approach and avoidance, although we need to accurately anticipate each type of outcome to behave effectively. Attention is biased toward stimuli that have been learned to predict either type of outcome, and it remains an open question whether such orienting is driven by separate systems for value-and threat-based orienting or whether there exists a common underlying mechanism of attentional control driven by motivational salience. Here, we provide a direct comparison of the neural correlates of value-and threat-based attentional capture after associative learning. Across multiple measures of behavior and brain activation, our findings overwhelmingly support a motivational salience account of the control of attention. We conclude that there exists a core mechanism of experience-dependent attentional control driven by motivational salience and that prior characterizations of attention as being value driven or supporting threat monitoring need to be revisited. © 2021 Massachusetts Institute of Technology.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85114629568
"Anderson B.A., Kim H., Kim A.J., Liao M.-R., Mrkonja L., Clement A., Grégoire L.","36058352000;57202061067;56528827800;57211905652;57252961800;55832586500;55813918700;","The past, present, and future of selection history",2021,"Neuroscience and Biobehavioral Reviews","130",,,"326","350",,87,"10.1016/j.neubiorev.2021.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114595189&doi=10.1016%2fj.neubiorev.2021.09.004&partnerID=40&md5=45f2008c6e33b277f43d16f1ecc67217","The last ten years of attention research have witnessed a revolution, replacing a theoretical dichotomy (top-down vs. bottom-up control) with a trichotomy (biased by current goals, physical salience, and selection history). This third new mechanism of attentional control, selection history, is multifaceted. Some aspects of selection history must be learned over time whereas others reflect much more transient influences. A variety of different learning experiences can shape the attention system, including reward, aversive outcomes, past experience searching for a target, target‒non-target relations, and more. In this review, we provide an overview of the historical forces that led to the proposal of selection history as a distinct mechanism of attentional control. We then propose a formal definition of selection history, with concrete criteria, and identify different components of experience-driven attention that fit within this definition. The bulk of the review is devoted to exploring how these different components relate to one another. We conclude by proposing an integrative account of selection history centered on underlying themes that emerge from our review. © 2021 Elsevier Ltd",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85114595189
"Zhuang R., Tu Y., Wang X., Ren Y., Abrams R.A.","57216954443;57250444100;57250563600;57189067509;16196549000;","Contributions of gains and losses to attentional capture and disengagement: evidence from the gap paradigm",2021,"Experimental Brain Research","239","11",,"3381","3395",,5,"10.1007/s00221-021-06210-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114498063&doi=10.1007%2fs00221-021-06210-9&partnerID=40&md5=372a50e83222da16ae34f72d8254a873","It is known that movements of visual attention are influenced by features in a scene, such as colors, that are associated with value or with loss. The present study examined the detailed nature of these attentional effects by employing the gap paradigm—a technique that has been used to separately reveal changes in attentional capture and shifting, and changes in attentional disengagement. In four experiments, participants either looked toward or away from stimuli with colors that had been associated either with gains or with losses. We found that participants were faster to look to colors associated with gains and slower to look away from them, revealing effects of gains on both attentional capture and attentional disengagement. On the other hand, participants were both slower to look to features associated with loss, and faster to look away from such features. The pattern of results suggested, however, that the latter finding was not due to more rapid disengagement from loss-associated colors, but instead to more rapid shifting of attention away from such colors. Taken together, the results reveal a complex pattern of effects of gains and losses on the disengagement, capture, and shifting of visual attention, revealing a remarkable flexibility of the attention system. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Article,"Final","",Scopus,2-s2.0-85114498063
"Liu C., Rotaru K., Lee R.S.C., Tiego J., Suo C., Yücel M., Albertella L.","57224737977;23390671100;54385436600;57203279544;35323113700;7006258831;15025915100;","Distress-driven impulsivity interacts with cognitive inflexibility to determine addiction-like eating",2021,"Journal of Behavioral Addictions","10","3",,"534","539",,12,"10.1556/2006.2021.00027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121417201&doi=10.1556%2f2006.2021.00027&partnerID=40&md5=c393d44b1c7611065dd1fef2016d9bfb","Background: Researchers are only just beginning to understand the neurocognitive drivers of addiction-like eating behaviours, a highly distressing and relatively common condition. Two constructs have been consistently linked to addiction-like eating: distress-driven impulsivity and cognitive inflexibility. Despite a large body of addiction research showing that impulsivity-related traits can interact with other risk markers to result in an especially heightened risk for addictive behaviours, no study to date has examined how distress-driven impulsivity interacts with cognitive inflexibility in relation to addiction-like eating behaviours. The current study examines the interactive contribution of distress-driven impulsivity and cognitive inflexibility to addiction-like eating behaviours. Method: One hundred and thirty-one participants [mean age 21 years (SD = 2.3), 61.8% female] completed the modified Yale Food Addiction Scale, the S-UPPS-P impulsivity scale, and a cognitive flexibility task. A bootstrap method was used to examine the associations between distress-driven impulsivity, cognitive inflexibility, and their interaction with addiction-like eating behaviours. Results: There was a significant interaction effect between distress-driven impulsivity and cognitive flexibility (P = 0.03). The follow-up test revealed that higher distress-driven impulsivity was associated with more addiction-like eating behaviours among participants classified as cognitively inflexible only. Conclusion: The current findings shed light on the mechanisms underlying addiction-like eating behaviours, including how traits and cognition might interact to drive them. The findings also suggest that interventions that directly address distress-driven impulsivity and cognitive inflexibility might be effective in reducing risk for addiction-like eating and related disorders. © 2021 The Author(s).",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85121417201
